Arrondissement;Date_debut;Date_fin;Type_travaux;latitude;longitude;nb_arbres;tps_par_arbre
12;29/01/2024;09/02/2024;Abattage;48.837141306265565;2.389766382167194;1;35
12;29/01/2024;09/02/2024;Plantation;48.837893045281994;2.3945350416063724;3;10
12;29/01/2024;09/02/2024;Plantation;48.83372746694647;2.3952025551839657;1;10
12;29/01/2024;09/02/2024;Plantation;48.840004059547624;2.3868653686757924;1;10
12;29/01/2024;09/02/2024;Plantation;48.8425853299279; 2.3910526821674507;1;10
12;29/01/2024;09/02/2024;Plantation;48.84364349234034;2.3966217839358137;4;10
12;29/01/2024;09/02/2024;Plantation;48.84405986910701;2.3864281705290145;2;10
12;29/01/2024;09/02/2024;Plantation;48.833508232858144;2.4030743416744413;1;10
12;29/01/2024;09/02/2024;Plantation;48.83954684131941;2.411582183934515;1;10
12;29/01/2024;09/02/2024;Plantation;48.83135309744054;2.401639626347688;1;10
12;29/01/2024;09/02/2024;Plantation;48.83204342380068;2.3992012115172012;1;10
13;31/01/2024;31/01/2024;Plantation;48.83184662119219;2.3669235128561725;8;10
13;29/01/2024;09/02/2024;Abattage;48.83048915109968;2.3564383127679003;1;35
13;29/01/2024;09/02/2024;Abattage;48.84090149566405;2.3633539398396617;1;35
13;29/01/2024;09/02/2024;Plantation;48.83927997732754;2.3698734975118905;1;10
13;29/01/2024;09/02/2024;Plantation;48.83121503289944;2.367861087634342;1;10
13;29/01/2024;09/02/2024;Plantation;48.82493306763809;2.359238997511275;2;10
13;29/01/2024;09/02/2024;Plantation;48.82308777335949;2.341722684019644;4;10
13;29/01/2024;09/02/2024;Plantation;48.83011575215231;2.3526473416039577;2;10
13;29/01/2024;09/02/2024;Plantation;48.837898004131965;2.3726468551841124;1;10
13;04/02/2024;04/02/2024;Taille R;48.821542006069016;2.3683776551834477;764;20
14;30/01/2024;30/01/2024;Plantation;48.83079968679463;2.314263355183823;8;10
14;29/01/2024;09/02/2024;Plantation;48.73070545959742;2.310894797507152;1;10
14;29/01/2024;09/02/2024;Plantation;48.82197777508901;2.328611310912217;1;10
14;29/01/2024;09/02/2024;Plantation;48.82431822460605;2.319216697511232;1;10
14;29/01/2024;09/02/2024;Taille R;48.83306310476169;2.311771555183929;383;20
14;29/01/2024;09/02/2024;Taille R;48.83870140186708;2.3295596551841755;79;20
15;29/01/2024;09/02/2024;Taille R;48.843238749971476;2.3264818821674753;1433;20
15;28/01/2024;28/01/2024;Taille R;48.82933310256536;2.292347055183771;199;20
16;29/01/2024;09/02/2024;Taille R;48.85039706888958;2.270136497512389;85;20
16;29/01/2024;09/02/2024;Taille R;48.855479298991256;2.276453812775621;5;20
16;29/01/2024;09/02/2024;Taille R;48.86754606305611;2.294907726349281;2;20
16;29/01/2024;09/02/2024;Taille R;48.87125636700603;2.2951599975132897;17;20
16;29/01/2024;09/02/2024;Plantation;48.87331917762816;2.29319803984108;459;10
16;29/01/2024;09/02/2024;Plantation;48.872722819403386;2.2926355975133728;1;10
16;29/01/2024;09/02/2024;Plantation;48.875906309525;2.2808469398411764;1;10
16;29/01/2024;09/02/2024;Plantation;48.8557183982497;2.264618355103444;1;10
16;29/01/2024;09/02/2024;Plantation;48.8544558981289;2.2634619975125676;1;10
16;29/01/2024;09/02/2024;Plantation;48.85430711720015;2.263414882167952;1;10
16;29/01/2024;09/02/2024;Plantation;48.85430711720015;2.263414882167952;1;10
16;29/01/2024;09/02/2024;Plantation;48.85404588468895;2.2631477974306216;1;10
16;29/01/2024;09/02/2024;Plantation;48.85333134166911;2.2627954398401866;1;10
16;29/01/2024;09/02/2024;Plantation;48.85261572220843;2.2627130551847627;1;10
16;29/01/2024;09/02/2024;Plantation;48.85264622211813;2.262543282167882;1;10
16;29/01/2024;09/02/2024;Plantation;48.8511118538222;2.2623164839381023;1;10
16;29/01/2024;09/02/2024;Plantation;48.8488247929994;2.260833097512278;1;10
16;29/01/2024;09/02/2024;Plantation;48.839758970527484;2.2668889704430613;1;10
16;29/01/2024;09/02/2024;Plantation;48.839758970527484;2.2668889704430613;1;10
16;29/01/2024;09/02/2024;Plantation;48.83984953725567;2.2665174398396224;1;10
16;29/01/2024;09/02/2024;Plantation;48.840618818995544;2.2668197263481042;1;10
16;29/01/2024;09/02/2024;Plantation;48.858357928911175;2.272567812857353;1;10
16;29/01/2024;09/02/2024;Plantation;48.83971998647275;2.2557530127707457;1;10
16;29/01/2024;09/02/2024;Plantation;48.85144460490366;2.277324297512403;1;10
16;29/01/2024;09/02/2024;Plantation;48.83871750182159;2.261021968675749;1;10
16;29/01/2024;09/02/2024;Plantation;48.85212020438613;2.4368517551847684;1;10
16;29/01/2024;09/02/2024;Plantation;48.88792996302091;2.304949839841753;1;10
17;29/01/2024;09/02/2024;Taille R;48.880696905893544;2.2836906244967903;406;20
17;29/01/2024;09/02/2024;Taille R;48.88127387073604;2.3103231840222174;55;20
17;29/01/2024;09/02/2024;Taille R;48.889547867189485;2.300721768677939;31;20
17;29/01/2024;09/02/2024;Taille R;48.88124819294777;2.2896759398414592;22;20
17;29/01/2024;09/02/2024;Taille R;48.87572569355764;2.293385741223769;57;20
17;29/01/2024;09/02/2024;Taille R;48.89911023750843;2.3264769821699125;3;20
17;29/01/2024;09/02/2024;Taille R;48.88246318917723;2.3101032551860863;5;20
17;29/01/2024;09/02/2024;Taille R;48.88477967190923;2.297728841694655;4;20
17;29/01/2024;09/02/2024;Taille R;48.89362550074128;2.314129555186574;2;20
17;29/01/2024;09/02/2024;Taille R;48.88435238331413;2.3068526821692483;5;20
17;29/01/2024;09/02/2024;Taille R;48.886099084584316;2.3378339551128176;5;20
18;29/01/2024;09/02/2024;Taille R;48.883536896278734;2.342735441694591;16;20
18;29/01/2024;09/02/2024;Taille R;48.886481228818;2.3446741839490874;15;20
18;29/01/2024;09/02/2024;Taille R;48.88625827739919;2.3581017533332123;2;20
18;29/01/2024;09/02/2024;Taille R;48.89444910971115;2.3495771262792555;27;20
18;29/01/2024;09/02/2024;Taille R;48.876508795242906;2.3791694551858162;4;20
19;29/01/2024;09/02/2024;Abattage;48.89164485253921;2.3742664263503435;1;35
19;29/01/2024;09/02/2024;Abattage;48.88426302847881;2.3980798551861953;1;35
19;29/01/2024;09/02/2024;Abattage;48.88358724089803;2.383281112858444;2;35
19;29/01/2024;09/02/2024;Abattage;48.87773940383651;2.394816266824358;1;35
19;29/01/2024;09/02/2024;Abattage;48.8785772775828;2.3745143110051905;1;35
19;29/01/2024;09/02/2024;Elagage;48.89231793071777;2.3828347416232516;9;20
19;29/01/2024;09/02/2024;Plantation;48.88408051874515;2.3906413551861254;2;10
19;29/01/2024;09/02/2024;Plantation;48.881080386211075;2.3784512839474545;2;10
19;29/01/2024;09/02/2024;Plantation;48.88630513207956;2.380196339841665;1;10
19;29/01/2024;09/02/2024;Plantation;48.887687045201076;2.3701466551863413;1;10
19;29/01/2024;09/02/2024;Plantation;48.887687045201076;2.3701466551863413;1;10
19;29/01/2024;09/02/2024;Plantation;48.88505118114555;2.391142424496978;1;10
19;29/01/2024;09/02/2024;Plantation;48.89298804874904;2.3978397263503943;6;10
19;29/01/2024;09/02/2024;Plantation;48.86162725382924;2.3934832263490415;2;10
20;29/01/2024;09/02/2024;Abattage;48.86162725382924;2.3934832263490415;1;35
